student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,sex,ageguess,year,lovetrueage,lovetrueht
201911,n,n,5,NA,1,5,13,0.44,7,1,2,3,71,21,blue,8.5,84,NA,43,2019,52.5,NA
201912,y,y,5,NA,1,1,13,0.86,7,25,3,4,71,23,blue,7,78,NA,52,2019,52.5,NA
201913,y,y,7,NA,2,1,19,0.9,7,20,3,3,69,19.2,red,7,74,NA,50,2019,52.5,NA
201914,y,y,4,NA,1,1,9,0.8,6,30,2,4,75,23,black,8,65,NA,50,2019,52.5,NA
201915,y,y,5,NA,1,0,20,1,6,100,3,2,63,21,blue,8,66,NA,45,2019,52.5,NA
201916,n,n,6,NA,1,0,16,1,6,3.5,4,3,71,19,red,12,110,NA,43,2019,52.5,NA
201917,y,y,5,NA,1,0,10,1,7,30,3,3,65,20,blue,6,104,NA,53,2019,52.5,NA
201918,y,n,4,NA,1,2,16,0.78,7,30,2,3,64,18,white,8,76,NA,42,2019,52.5,NA
201919,y,n,7,NA,1,2,18,0.8,7,20,2,3,69,18.5,blue,7,74,NA,50,2019,52.5,NA
201920,y,y,7,NA,1,0,10,1,7,15,2,4,68,19,green,9,63,NA,53,2019,52.5,NA
201921,n,y,5,NA,1,1,9,0.8,6,30,2,4,66,22.5,blue,8,62,NA,47,2019,52.5,NA
201922,y,y,5,NA,1,6,14,0.4,6,0,3,5,67,17,blue,6.5,68,NA,57,2019,52.5,NA
201923,n,y,3,NA,1,0,16,1,6,50,2,3,70,20,blue,8,75,NA,50,2019,52.5,NA
201924,n,y,6,NA,1,0,20,1,7,60,2,3,64,18,blue,7.5,70,NA,60,2019,52.5,NA
201925,n,y,5,NA,1,3,14,0.65,7,80,3,1,65,17,green,8.5,72,NA,46,2019,52.5,NA
201926,y,y,5,NA,1,1,15,0.88,7,20,3,3,77.5,21.5,green,6,90,NA,49,2019,52.5,NA
201927,y,y,5,NA,1,5,15,0.5,7,50,3,2,61,20.5,pink,6.5,94,NA,53,2019,52.5,NA
201928,y,y,5,NA,1,2,18,0.8,6,35,1,4,77,23,red,7,65,NA,51,2019,52.5,NA
201929,n,y,7,NA,1,0,10,1,7,29,3,2,71,23,purple,6,68,NA,47,2019,52.5,NA
201930,y,y,5,NA,1,1,16,0.88,7,80,4,4,63,17.5,purple,7,80,NA,21,2019,52.5,NA
201931,y,n,4,NA,2,3,17,0.7,7,25,1,1,70,22,green,7,104,NA,45,2019,52.5,NA
201932,y,n,6,NA,1,0,10,1,7,7,4,3,67,19.5,blue,8,70,NA,40,2019,52.5,NA
201933,y,y,5,NA,1,3,17,0.7,7,35,2,4,72,22,purple,7.5,82,NA,53,2019,52.5,NA
201934,n,y,6,NA,1,0,15,1,7,35,1,5,70,23,blue,8,68,NA,48,2019,52.5,NA
201935,y,y,6,NA,1,8,2,-0.6,7,25,2,2,64,22,green,6.5,48,NA,61,2019,52.5,NA
201936,y,y,5,NA,1,18,2,-0.8,5,70,4,4,63,18.9,purple,8,60,NA,55,2019,52.5,NA
201937,y,y,5,NA,1,0,18,1,7,16,2,1,68,21.8,blue,7,76,NA,50,2019,52.5,NA
201938,n,y,5,NA,1,0,17,1,7,0,3,2,62,17,gray,6.5,86,NA,55,2019,52.5,NA
201939,n,y,5,NA,1,0,16,1,7,60,3,2,68,20,teal,4,86,NA,54,2019,52.5,NA
201940,y,y,4,NA,1,4,16,0.6,5,35,4,4,68,18,blue,8,90,NA,57,2019,52.5,NA
201941,y,y,5,NA,1,3,17,0.7,7,70,3,3,68,22,red,7,70,NA,45,2019,52.5,NA
201942,n,y,6,NA,1,3,5,0.25,5,23,4,4,68,22,blue,5,71,NA,49,2019,52.5,NA
201943,y,y,4,NA,1,0,17,1,5,30,2,4,71,24,red,7,85,NA,56,2019,52.5,NA
201944,y,y,5,NA,1,1,18,0.89,6,15,2,3,66,21,blue,4,80,NA,49,2019,52.5,NA
201945,y,y,6,NA,2,5,13,0.44,7,80,1,1,68,21,purple,8,88,NA,42,2019,52.5,NA
201946,y,y,5,NA,1,4,14,0.56,7,18,1,3,68,21,purple,6.5,66,NA,45,2019,52.5,NA
201947,n,n,7,NA,1,0,10,1,7,60,3,4,65,21.5,green,5,60,NA,50,2019,52.5,NA
201948,y,y,6,NA,1,4,7,0.27,7,50,3,3,65,18,purple,6,96,NA,54,2019,52.5,NA
201949,n,y,5,NA,1,0,10,1,7,25,4,2,64,20,blue,7,70,NA,50,2019,52.5,NA
201950,n,n,6,NA,1,1,9,0.8,7,25,4,2,64,19,light blue,6.5,46,NA,55,2019,52.5,NA
201951,y,n,3,NA,1,0,20,1,7,8,2,4,69,22,blue,9,90,NA,45,2019,52.5,NA
201952,y,y,2,NA,1,2,13,0.73,6,30,2,3,67,21,purple,6,80,NA,47,2019,52.5,NA
201953,y,y,7,NA,1,2,13,0.73,7,25,3,2,65,9,red,7,74,NA,NA,2019,52.5,NA
201954,y,n,5,NA,1,0,18,1,7,20,2,2,57,17,pink,6,80,NA,55,2019,52.5,NA
201955,n,y,5,NA,1,5,15,0.5,7,15,3,1,71,21,blue,9,70,NA,49,2019,52.5,NA
201956,n,n,3,NA,1,0,12,1,6,27,2,4,72,21,blue,7,33,NA,45,2019,52.5,NA
201957,y,y,6,NA,1,0,10,1,6,12,4,2,63,16,pink,7,70,NA,47,2019,52.5,NA
201958,y,y,6,NA,1,15,5,-0.5,7,80,4,4,62,20.4,dark green,8,72,NA,53,2019,52.5,NA
201959,y,y,7,NA,1,0,20,1,7,80,3,4,66,18.5,light purple,7,78,NA,50,2019,52.5,NA
201960,n,y,6,NA,1,0,18,1,7,20,3,4,67,22,green,7,56,NA,21,2019,52.5,NA
201961,y,y,6,NA,1,0,10,1,6,120,2,4,70.5,21.2,purple,7,78,NA,55,2019,52.5,NA
201801,NA,n,5,NA,1,9,11,0.1,7,15,3,2,66,22.4,gray,5,82,m,45,2018,51.5,NA
201802,NA,y,6,NA,1,0,10,1,7,25,3,3,63,18,blue,4,64,f,50,2018,51.5,NA
201803,NA,y,7,NA,1,0,10,1,7,22,3,3,62,17,blue,7.5,68,f,45,2018,51.5,NA
201804,NA,y,6,NA,1,0,10,1,7,20,4,2,62,17,black,6,66,f,50,2018,51.5,NA
201805,NA,n,5,NA,1,2,18,0.8,7,0,3,2,64,19,pink,8,78,f,46,2018,51.5,NA
201806,NA,y,5,NA,1,0,20,1,5,20,3,4,63,18.5,blue,6,104,f,48,2018,51.5,NA
201807,NA,y,6,NA,1,14,3,-0.65,7,40,2,3,62,18.5,purple,7,70,f,50,2018,51.5,NA
201808,NA,y,4,NA,1,5,17,0.55,6,50,3,4,65,18.5,red,8,80,f,45,2018,51.5,NA
201809,NA,y,5,NA,1,4,6,0.2,6,20,2,4,73,23.5,blue,6,48,m,50,2018,51.5,NA
201810,NA,y,4,NA,1,1,10,0.82,6,30,2,4,65,15.5,blue,7,86,f,60,2018,51.5,NA
201811,NA,y,5,NA,1,18,11,-0.24,7,50,2,2,63,19,sky blue,6,70,f,55,2018,51.5,NA
201812,NA,y,6,NA,1,20,10,-0.33,7,120,1,2,68,23,blue,7,68,f,48,2018,51.5,NA
201813,NA,n,5,NA,1,20,10,-0.33,7,25,5,2,71,22,red,6,56,m,50,2018,51.5,NA
201814,NA,n,5,NA,3,0,20,1,6,0,2,4,69,19.5,blue,7,70,m,NA,2018,51.5,NA
201815,NA,y,5,NA,1,19,10,-0.31,6,50,2,3,66,19,green,7,68,f,46,2018,51.5,NA
201816,NA,y,5,NA,1,0,10,1,6,20,3,4,68,18,red,7,58,f,52,2018,51.5,NA
201817,NA,n,6,NA,1,0,10,1,5,20,3,5,70,17,navy,6,62,m,45,2018,51.5,NA
201818,NA,y,5,NA,1,3,11,0.57,7,20,2,2,65,21.1,green,4.5,56,m,52,2018,51.5,NA
201819,NA,y,5,NA,1,5,11,0.38,7,0,4,3,63,18.6,green,8.5,64,f,55,2018,51.5,NA
201820,NA,y,5,NA,1,0,10,1,7,0,4,3,63,19.5,purple,6,70,f,42,2018,51.5,NA
201821,NA,y,4,NA,1,9,2,-0.64,7,43,4,3,72,22.5,blue,8,52,m,43,2018,51.5,NA
201822,NA,y,6,NA,1,4,16,0.6,7,36,4,4,61,16.5,blue,7,72,f,51,2018,51.5,NA
201823,NA,y,5,NA,1,2,15,0.76,7,65,2,2,63,18,purple,6.5,76,f,52,2018,51.5,NA
201824,NA,y,6,NA,1,NA,NA,NA,6,100,3,3,63,20,red,6,60,f,34,2018,51.5,NA
201825,NA,y,6,NA,1,15,10,-0.2,7,15,2,1,68,22,green,7,66,m,51,2018,51.5,NA
201826,NA,y,6,NA,1,1,9,0.8,6,12,4,4,72,23.5,turquoise,6.5,64,m,25,2018,51.5,NA
201827,NA,y,6,NA,1,15,11,-0.15,7,110,3,3,63,20,green,5.5,80,f,55,2018,51.5,NA
201828,NA,y,5,NA,1,0,20,1,7,20,4,5,71,18,blue,7.5,66,m,48,2018,51.5,NA
201829,NA,n,3,NA,1,0,19,1,6,0,2,3,73,19,green,8.5,64,m,45,2018,51.5,NA
201830,NA,y,5,NA,1,0,14,1,7,12,2,3,68,20,red,6,100,m,45,2018,51.5,NA
201831,NA,y,6,NA,1,1,17,0.89,7,20,3,5,71,20,blue,8,98,m,50,2018,51.5,NA
201832,NA,y,5,NA,1,0,10,1,6,9,4,3,67,22,green,7.5,76,m,48,2018,51.5,NA
201833,NA,y,5,NA,1,0,10,1,5,10,3,4,60,19.8,red,8,78,f,50,2018,51.5,NA
201834,NA,y,6,NA,1,0,16,1,6,24,3,5,64,17,yellow,5,84,f,49,2018,51.5,NA
201835,NA,y,5,NA,1,0,14,1,7,30,4,4,60,19,orange,7,92,f,55,2018,51.5,NA
201836,NA,y,4,NA,1,1,17,0.89,6,30,4,5,68,20,blue,5.5,74,f,53,2018,51.5,NA
201837,NA,y,5,NA,1,17,3,-0.7,7,20,3,4,69,20.5,orange,6,80,f,55,2018,51.5,NA
201838,NA,y,7,NA,1,0,17,1,7,20,2,3,73,24,green,7,64,m,55,2018,51.5,NA
201839,NA,y,2,NA,1,0,17,1,7,18,2,2,68,22,blue,7.5,74,m,50,2018,51.5,NA
201840,NA,y,6,NA,1,3,9,0.5,7,25,5,3,70,22,yellow,8,74,m,50,2018,51.5,NA
201841,NA,y,4,NA,1,4,8,0.33,5,25,3,3,70,19,green,7,66,m,53,2018,51.5,NA
201842,NA,y,7,NA,1,2,18,0.8,7,20,4,4,68,21.7,green,6,95,m,52,2018,51.5,NA
201843,NA,y,2,NA,1,2,18,0.8,7,20,3,4,73,21,blue,7.5,92,m,54,2018,51.5,NA
201844,NA,y,6,NA,1,4,14,0.56,7,60,3,3,67,22,pink,8,62,f,50,2018,51.5,NA
201845,NA,y,5,NA,1,9,11,0.1,5,60,2,3,62,20,gray,8,74,f,53,2018,51.5,NA
201846,NA,n,7,NA,1,0,20,1,7,0,3,2,66,9,blue,8,80,m,30,2018,51.5,NA
201847,NA,n,5,NA,1,2,18,0.8,6,20,4,4,70,19,blue,7,54,f,35,2018,51.5,NA
201848,NA,y,5,NA,1,0,10,1,6,NA,3,5,63,18,blue,6.5,92,f,45,2018,51.5,NA
201849,NA,y,5,NA,1,0,10,1,7,20,2,4,70,21,orange,7.5,84,m,44,2018,51.5,NA
201850,NA,n,7,NA,1,1,19,0.9,7,15,4,3,63,9,blue,6,80,f,50,2018,51.5,NA
201851,NA,n,5,NA,1,6,14,0.4,5,10,4,4,64,8.5,NA,7,85,f,45,2018,51.5,NA
201701,NA,y,3,NA,1,15,3,-0.67,5,20,2,2,71,22,orange,8.5,75,m,52,2017,50.5,NA
201702,NA,y,5,NA,1,12,5,-0.41,5,0,3,4,63,18,gray,6.5,68,m,48,2017,50.5,NA
201703,NA,y,3,NA,1,0,20,1,7,20,3,1,65,20.5,pink,6,80,f,55,2017,50.5,NA
201704,NA,y,6,NA,1,14,3,-0.65,7,0,5,3,74,22,red,8,96,m,55,2017,50.5,NA
201705,NA,y,4,NA,1,1,18,0.89,7,21,1,3,67,20,purple,7,68,m,50,2017,50.5,NA
201706,NA,y,4,NA,1,3,14,0.65,5,12,1,3,71,18,blue,9,82,m,44,2017,50.5,NA
201707,NA,y,5,NA,1,2,13,0.73,6,22,3,2,67,19,purple,6,57,m,45,2017,50.5,NA
201708,NA,y,4,NA,1,0,20,1,7,0,5,5,70,21,blue,2,91,m,50,2017,50.5,NA
201709,NA,y,5,NA,1,4,7,0.27,7,20,2,1,69,23,blue,6,60,m,48,2017,50.5,NA
201710,NA,y,5,NA,1,2,10,0.67,7,14,3,1,66,20,green,6,54,f,55,2017,50.5,NA
201711,NA,y,3,NA,1,0,17,1,7,20,3,1,65,19.5,green,7,62,f,45,2017,50.5,NA
201712,NA,y,7,NA,2,0,20,1,7,20,3,1,69,20,green,8.5,80,m,54,2017,50.5,NA
201713,NA,y,5,NA,1,4,14,0.56,7,45,4,4,66,19,purple,7,64,f,52,2017,50.5,NA
201714,NA,y,6,NA,3,2,18,0.8,6,0,3,4,74,20.4,blue,8,70,m,45,2017,50.5,NA
201715,NA,y,7,NA,1,3,17,0.7,7,20,4,5,69,19.7,blue,6,74,f,45,2017,50.5,NA
201716,NA,y,3,NA,1,0,19,1,6,40,3,3,65.5,20,yellow,8,70,f,50,2017,50.5,NA
201717,NA,n,5,NA,1,0,18,1,7,14,4,3,66,19.5,blue,6,72,f,40,2017,50.5,NA
201718,NA,y,5,NA,1,3,14,0.65,7,12,2,3,67,19,blue,8,88,m,47,2017,50.5,NA
201719,NA,n,7,NA,1,0,10,1,7,12,2,5,64,20.5,blue,8,75,m,56,2017,50.5,NA
201720,NA,y,6,NA,1,9,1,-0.8,7,22,4,2,67,21.7,blue,6.5,58,f,45,2017,50.5,NA
201721,NA,y,3,NA,1,0,18,1,6,40,3,3,64,19.5,black,9,100,f,40,2017,50.5,NA
201722,NA,n,1,NA,1,1,10,0.82,5,20,3,4,69,20,green,7,78,m,35,2017,50.5,NA
201723,NA,y,7,NA,1,1,19,0.9,7,40,2,4,67,22,green,6.5,86,f,32,2017,50.5,NA
201724,NA,y,5,NA,1,2,18,0.8,5,130,5,3,66,21,yellow,6,80,f,50,2017,50.5,NA
201725,NA,n,5,NA,1,3,17,0.7,7,30,3,4,69,18.5,blue,8,74,m,48,2017,50.5,NA
201726,NA,y,6,NA,1,0,10,1,6,15,3,4,68,20,burnt orange,8,68,m,40,2017,50.5,NA
201727,NA,y,5,NA,1,2,8,0.6,7,25,3,3,68,18,blue,5,54,f,42,2017,50.5,NA
201728,NA,y,5,NA,1,6,14,0.4,7,15,5,3,69,21,green,6,64,f,45,2017,50.5,NA
201729,NA,y,7,NA,2,4,6,0.2,7,14,2,3,75,22,green,7,80,m,47,2017,50.5,NA
201730,NA,y,5,NA,1,1,9,0.8,5,26,3,3,62,16,blue,5,75,f,38,2017,50.5,NA
201731,NA,y,6,NA,1,0,20,1,7,50,4,4,68,21.5,turquoise,6,76,f,45,2017,50.5,NA
201732,NA,NA,6,NA,1,0,20,1,7,100,5,3,64,18.5,white,6,88,f,45,2017,50.5,NA
201733,NA,n,5,NA,1,0,20,1,7,5,2,4,64,21,green,7,50,f,40,2017,50.5,NA
201734,NA,y,5,NA,1,3,15,0.67,6,15,2,3,62,19.3,red,8,98,f,45,2017,50.5,NA
201735,NA,n,4,NA,1,5,13,0.44,7,0,2,1,64,21,gray,3,86,m,50,2017,50.5,NA
201736,NA,y,7,NA,2,0,20,1,7,15,3,3,65,20.5,none,7,84,f,29,2017,50.5,NA
201737,NA,y,7,NA,1,0,16,1,7,23,4,3,71,23,red,7.5,100,m,51,2017,50.5,NA
201738,NA,y,3,NA,1,1,16,0.88,5,20,4,3,69,20,blue,8,74,m,50,2017,50.5,NA
201739,NA,y,6,NA,1,0,18,1,6,80,3,2,64,20.5,pink,6.5,94,f,47,2017,50.5,NA
201740,NA,y,3,NA,1,0,19,1,5,0,3,3,77,24,blue,6,84,m,45,2017,50.5,NA
201741,NA,n,5,NA,1,0,18,1,7,40,2,1,62,20,blue,6,82,f,48,2017,50.5,NA
201742,NA,n,7,NA,1,0,19,1,7,15,3,3,66,19.5,purple,6,80,f,50,2017,50.5,NA
201743,NA,y,7,NA,1,0,20,1,7,20,3,2,67,23,blue,7,78,m,55,2017,50.5,NA
201744,NA,y,7,NA,1,1,9,0.8,7,16,3,4,69,21,blue,6,98,m,52,2017,50.5,NA
201745,NA,y,7,NA,1,0,19,1,7,12,4,4,73.5,19,blue,4,72,m,58,2017,50.5,NA
201746,NA,y,5,NA,1,1,17,0.89,6,35,4,4,64,20.8,yellow,6.5,98,f,42,2017,50.5,NA
201747,NA,y,6,NA,1,6,11,0.29,6,40,4,3,66,19,red,8,86,f,41,2017,50.5,NA
201748,NA,y,5,NA,1,13,5,-0.44,6,70,2,1,67,20,green,8,80,f,43,2017,50.5,NA
201601,NA,y,7,NA,1,0,10,1,7,15,4,4,63,21,blue,6,64,f,45,2016,49.5,NA
201602,NA,y,6,NA,1,0,18,1,7,12,2,4,69,19.2,green,8,88,m,53,2016,49.5,NA
201603,NA,y,3,NA,1,0,18,1,5,30,3,4,68,18,blue,6.5,80,f,60,2016,49.5,NA
201604,NA,n,4,NA,1,5,7,0.17,7,NA,3,2,63,18.5,gray,8,60,f,37,2016,49.5,NA
201605,NA,n,7,NA,1,0,10,1,7,20,2,1,61,17,green,7,84,f,35,2016,49.5,NA
201606,NA,n,7,NA,3,11,10,-0.05,7,15,3,3,70,22,blue,6,74,m,43,2016,49.5,NA
201607,NA,n,5,NA,3,20,11,-0.29,7,20,3,2,73,20,red,9,84,m,45,2016,49.5,NA
201608,NA,y,6,NA,1,6,13,0.37,7,25,3,3,66,18,red,6.5,80,f,46,2016,49.5,NA
201609,NA,y,6,NA,1,2,11,0.69,6,0,3,4,66,19,blue,7,50,m,50,2016,49.5,NA
201610,NA,y,5,NA,1,3,17,0.7,6,25,3,3,66,19,purple,4,60,f,50,2016,49.5,NA
201611,NA,y,7,NA,1,5,9,0.29,7,40,2,3,63,13.5,blue,6,66,f,NA,2016,49.5,NA
201612,NA,y,4,NA,1,3,7,0.4,6,70,3,3,64,18,white,7.5,72,f,60,2016,49.5,NA
201613,NA,y,5,NA,1,1,14,0.87,7,0,3,5,68,17,dark blue,8.5,78,f,42,2016,49.5,NA
201614,NA,y,6,NA,1,1,13,0.86,7,15,4,3,64,16.75,teal,9.5,84,f,39,2016,49.5,NA
201615,NA,y,5,NA,2,4,16,0.6,7,30,2,3,71,21.5,blue,7.5,94,m,48,2016,49.5,NA
201616,NA,y,4,NA,1,4,13,0.53,7,0,3,2,71,19,red,6.67,90,f,47,2016,49.5,NA
201617,NA,y,3,NA,1,0,15,1,5,20,3,3,67,20,purple,8,74,f,45,2016,49.5,NA
201618,NA,y,3,NA,1,4,13,0.53,7,10,3,4,61,20,purple,6,72,f,42,2016,49.5,NA
201619,NA,y,4,NA,1,4,10,0.43,5,18,3,4,74,20.3,blue,NA,58,m,49,2016,49.5,NA
201620,NA,y,2,NA,1,4,9,0.38,5,32,4,3,63,18.5,blue,6,92,f,52,2016,49.5,NA
201621,NA,y,5,NA,1,2,17,0.79,6,20,3,3,69,23,blue,7,65,m,43,2016,49.5,NA
201622,NA,y,3,NA,1,1,19,0.9,6,20,3,3,71,23,blue,6,56,m,50,2016,49.5,NA
201623,NA,y,5,NA,1,1,15,0.88,6,20,2,2,75,22,blue,7,50,m,45,2016,49.5,NA
201624,NA,y,3,NA,1,2,18,0.8,6,20,4,2,64,23,black,8,76,m,53,2016,49.5,NA
201625,NA,y,5,NA,1,4,13,0.53,7,45,4,4,70,19.5,blue,7,56,f,NA,2016,49.5,NA
201626,NA,y,5,NA,1,8,7,-0.07,7,60,3,4,63,19.2,blue,8,106,f,46,2016,49.5,NA
201627,NA,n,6,NA,1,1,16,0.88,7,15,3,4,72,9.5,yellow,8,70,m,40,2016,49.5,NA
201628,NA,n,5,NA,1,0,20,1,6,17,4,2,66,10,blue,7.5,68,m,43,2016,49.5,NA
201629,NA,y,6,NA,1,0,10,1,6,15,3,2,66,9.5,blue,8,60,m,47,2016,49.5,NA
201630,NA,n,3,NA,1,0,20,1,6,60,3,3,66,18,aqua,7,82,f,45,2016,49.5,NA
201631,NA,y,5,NA,1,2,12,0.71,6,50,4,4,64,20,light blue,7.5,72,f,48,2016,49.5,NA
201632,NA,y,5,NA,1,0,11,1,7,0,3,4,66,20,purple,8,90,m,47,2016,49.5,NA
201633,NA,n,4,NA,1,0,20,1,4,15,4,1,68,25,blue,9,54,m,41,2016,49.5,NA
201634,NA,n,7,NA,1,0,10,1,7,15,4,3,65,20,black,7,100,f,45,2016,49.5,NA
201635,NA,y,3,NA,1,3,17,0.7,6,8,3,4,66,22,blue,7.5,56,m,52,2016,49.5,NA
201636,NA,y,5,NA,1,1,19,0.9,6,120,3,1,69,20,blue,8,65,f,24,2016,49.5,NA
201637,NA,y,6,NA,1,2,10,0.67,7,20,4,3,62,20,white,6,60,f,49,2016,49.5,NA
201638,NA,y,4,NA,1,7,8,0.07,7,40,1,2,60,21,none,7.5,60,f,42,2016,49.5,NA
201639,NA,y,7,NA,1,0,10,1,7,35,3,4,67,19,blue,5,64,m,70,2016,49.5,NA
201640,NA,y,5,NA,1,0,20,1,6,32,2,2,62,18.5,green,6,70,f,53,2016,49.5,NA
201641,NA,y,5,NA,1,0,20,1,6,40,2,2,62,18.5,blue,6.5,80,f,54,2016,49.5,NA
201642,NA,n,6,NA,1,0,10,1,5,20,3,3,71,25,green,6,64,m,48,2016,49.5,NA
201643,NA,n,5,NA,1,0,10,1,5,15,3,4,64,18.5,blue,8,78,f,40,2016,49.5,NA
201644,NA,y,5,NA,1,2,18,0.8,7,0,2,3,71,18.5,green,7,68,m,47,2016,49.5,NA
201645,NA,y,4,NA,1,1,19,0.9,5,40,3,4,63.5,17,blue,7,74,f,43,2016,49.5,NA
201646,NA,y,5,NA,2,2,13,0.73,7,9,3,2,74,23,blue,6,90,m,46,2016,49.5,NA
201647,NA,y,6,NA,1,3,14,0.65,7,0,2,4,71,22.5,blue,9,74,m,38,2016,49.5,NA
201648,NA,y,5,NA,2,7,3,-0.4,7,60,3,5,68,21,blue,7.5,90,f,48,2016,49.5,NA
201649,NA,y,5,NA,1,8,4,-0.33,7,12,1,2,70,21.5,gray,5,66,m,NA,2016,49.5,NA
201650,NA,y,5,NA,2,0,10,1,7,0,3,4,65,18.5,purple,5,70,f,50,2016,49.5,NA
201651,NA,y,5,NA,1,0,14,1,7,5,1,3,72,21.5,navy,7,55,m,35,2016,49.5,NA
201652,NA,y,5,NA,1,0,10,1,7,0,5,2,69,NA,blue,7.5,65,m,50,2016,49.5,NA
201653,NA,y,4,NA,1,2,18,0.8,7,0,3,2,67,24,brown,5,60,m,45,2016,49.5,NA
201654,NA,y,6,NA,2,8,2,-0.6,6,25,1,3,68,21,royal blue,8.5,64,f,48,2016,49.5,NA
201655,NA,y,5,NA,1,10,1,-0.82,6,75,3,4,63,17.5,violet,8.5,56,f,44,2016,49.5,NA
201656,NA,y,4,NA,1,2,10,0.67,7,20,4,4,73,22,navy,6,90,m,55,2016,49.5,NA
201657,NA,y,5,NA,1,0,20,1,6,10,3,3,69,21.5,black,7,68,m,48,2016,49.5,NA
201658,NA,y,6,NA,2,1,12,0.85,6,0,2,3,66,19.5,green,7,63,m,52,2016,49.5,NA
201659,NA,y,7,NA,1,4,6,0.2,7,26,1,1,67,21,blue,7,78,m,45,2016,49.5,NA
201660,NA,y,6,NA,1,5,14,0.47,7,20,2,4,73,22.5,red,6,60,m,38,2016,49.5,NA
201661,NA,y,6,NA,1,2,14,0.75,7,30,3,4,70,22,red,9,60,m,32,2016,49.5,NA
201662,NA,y,6,NA,1,0,10,1,7,30,1,1,76,23,gray,6,66,m,47,2016,49.5,NA
201663,NA,y,7,NA,1,1,10,0.82,7,20,5,3,63,20,green,4,56,m,40,2016,49.5,NA
201664,NA,n,7,NA,1,0,10,1,7,20,3,4,65,20.5,green,7,88,f,40,2016,49.5,NA
201501,NA,n,5,NA,1,2,15,0.76,7,15,3,3,61,19.5,blue,8,66,f,48,2015,48.5,NA
201502,NA,y,6,NA,1,1,11,0.83,7,7,4,4,71,21,blue,8,65,m,52,2015,48.5,NA
201503,NA,y,5,NA,1,6,6,0,7,19,2,2,67,19.5,chartreuse,8,80,m,47,2015,48.5,NA
201504,NA,y,5,NA,1,10,0,-1,7,30,4,4,66,22,blue,6.5,60,m,47,2015,48.5,NA
201505,NA,y,3,NA,1,15,5,-0.5,5,35,2,4,66,19,red,4,56,f,46,2015,48.5,NA
201506,NA,n,7,NA,1,2,14,0.75,7,5,3,2,70,21,blue,9,90,m,40,2015,48.5,NA
201507,NA,y,6,NA,1,1,12,0.85,7,0,3,4,74,24,blue,7,94,m,42,2015,48.5,NA
201508,NA,y,5,NA,1,0,20,1,6,17.5,4,4,72,22,blue,7,70,m,49,2015,48.5,NA
201509,NA,y,5,NA,1,20,0,-1,6,0,2,4,71,22.2,red,7.5,72,m,48,2015,48.5,NA
201510,NA,y,3,NA,1,18,2,-0.8,5,32,2,4,72,23,blue,5,64,m,42,2015,48.5,NA
201511,NA,y,7,NA,1,1,10,0.82,7,14,2,2,62,19.5,white,6,62,f,48,2015,48.5,NA
201512,NA,n,5,NA,1,2,18,0.8,6,5,2,2,68,NA,red,9,72,m,40,2015,48.5,NA
201513,NA,y,3,NA,1,20,0,-1,7,5,3,3,71,NA,red,9,72,m,54,2015,48.5,NA
201514,NA,y,5,NA,1,15,5,-0.5,6,25,3,4,63,19,purple,9,72,f,50,2015,48.5,NA
201515,NA,y,5,NA,1,13,7,-0.3,6,0,3,2,73,22,blue,7.5,78,m,45,2015,48.5,NA
201516,NA,y,4,NA,1,1,16,0.88,7,25,2,3,66,24.1,NA,8,66,f,44,2015,48.5,NA
201517,NA,y,6,NA,1,1,16,0.88,6,10,3,2,61,21.5,purple,7,72,f,45,2015,48.5,NA
201518,NA,y,5,NA,2,3,9,0.5,7,50,2,3,64,20,blue,8,68,f,36,2015,48.5,NA
201519,NA,y,3,NA,1,0,10,1,6,15,4,3,67,22,orange,6.5,60,m,47,2015,48.5,NA
201520,NA,y,4,NA,1,0,16,1,5,30,2,3,64,17,pink,8,58,f,45,2015,48.5,NA
201521,NA,y,4,NA,1,4,15,0.58,6,17,4,3,72,19,green,8,60,m,50,2015,48.5,NA
201522,NA,n,3,NA,1,4,16,0.6,5,35,2,2,64,17.5,pink,8,60,f,41,2015,48.5,NA
201523,NA,y,6,NA,1,3,9,0.5,6,60,2,5,68,19,green,6,62,f,52,2015,48.5,NA
201524,NA,y,3,NA,1,1,14,0.87,5,15,4,5,72,21.5,green,9,68,m,48,2015,48.5,NA
201525,NA,n,4,NA,1,1,16,0.88,4,20,2,3,69,21,blue,8,60,m,46,2015,48.5,NA
201526,NA,y,5,NA,1,9,7,-0.13,6,60,2,3,63,18.5,blue,6,68,f,42,2015,48.5,NA
201527,NA,y,5,NA,1,0,10,1,6,0,3,3,68.5,21,blue,8,68,f,45,2015,48.5,NA
201528,NA,y,1,NA,1,3,14,0.65,3,30,2,4,68,20,purple,8.5,60,f,50,2015,48.5,NA
201529,NA,y,3,NA,1,8,10,0.11,5,20,2,3,68,20.7,aqua,6.5,52,f,47,2015,48.5,NA
201530,NA,y,3,NA,1,7,6,-0.08,5,3,2,3,67,21,sapphire,7.5,69,f,47,2015,48.5,NA
201531,NA,y,7,NA,1,0,20,1,7,0,5,5,68,22,yellow,8,86,f,42,2015,48.5,NA
201532,NA,y,5,NA,1,2,15,0.76,6,210,3,2,70,21.5,purple,7.5,76,f,53,2015,48.5,NA
